ID,Computer Science,Physics,Mathematics,Statistics,Quantitative Biology,Quantitative Finance
20973,0.64342475,0.012783621,0.13953379,0.8946625,0.01005486,0.009022914
20974,0.01985591,0.9813918,0.01840119,0.019651229,0.017200802,0.016550072
20975,0.96476895,0.018593244,0.17012867,0.032909617,0.009750546,0.010245149
20976,0.021408092,0.97999966,0.015471905,0.021213906,0.02124011,0.015586538
20977,0.97356004,0.034278896,0.09059883,0.022638721,0.012180561,0.0103925895
20978,0.07381585,0.04921688,0.26141608,0.92503524,0.12779355,0.012649015
20979,0.037957124,0.030139066,0.88503504,0.9219795,0.034457736,0.047709443
20980,0.08091517,0.9633031,0.006745411,0.0811283,0.025773637,0.010980111
20981,0.97796553,0.060748644,0.013873835,0.051682513,0.032385826,0.01128734
20982,0.02410663,0.9808085,0.014812495,0.019748032,0.01932669,0.015725099
20983,0.019198226,0.97438556,0.019263953,0.014584203,0.031258542,0.0124482
20984,0.93781817,0.030898819,0.0061898334,0.26430547,0.015792083,0.008337044
20985,0.035373632,0.19449905,0.88659656,0.008797023,0.0075429776,0.008438753
20986,0.94608176,0.016153881,0.041271165,0.056865577,0.007945768,0.011903205
20987,0.29666322,0.1814829,0.046277285,0.91275585,0.03589897,0.011211697
20988,0.9537716,0.019969603,0.24383782,0.020010926,0.012368281,0.009854034
20989,0.02152752,0.9805117,0.019426513,0.016851177,0.016800141,0.016430574
20990,0.89559007,0.013097754,0.01987037,0.5686024,0.009645935,0.009102486
20991,0.7637486,0.15720555,0.0040513277,0.40797052,0.2803933,0.0111486865
20992,0.97229564,0.026068764,0.043962613,0.036583766,0.011793454,0.008995196
20993,0.36689544,0.8530363,0.026022518,0.132473,0.017770234,0.003527913
20994,0.017276771,0.96223974,0.08721952,0.008791736,0.0109844245,0.011746847
20995,0.79089636,0.011395454,0.02559934,0.86037356,0.016772315,0.010233865
20996,0.8012841,0.019363236,0.6762568,0.028065845,0.006258999,0.008927516
20997,0.018090095,0.981588,0.019092608,0.018380394,0.01936626,0.016572595
20998,0.9338772,0.08578324,0.21433513,0.01793688,0.0097142365,0.0062506744
20999,0.14567776,0.14651944,0.033987805,0.17460693,0.7656395,0.032923028
21000,0.020964002,0.9824395,0.016571477,0.018233765,0.01955076,0.016669214
21001,0.022133416,0.98026145,0.024230558,0.0184374,0.014866059,0.015274922
21002,0.7505003,0.27209297,0.023493016,0.013338407,0.11674107,0.0070408024
21003,0.97241306,0.02213516,0.0204764,0.07720015,0.012022418,0.010647176
21004,0.09871812,0.028861804,0.22263573,0.9177234,0.12686855,0.016264593
21005,0.08082462,0.916574,0.069340244,0.018009454,0.008238969,0.005088967
21006,0.9695972,0.018741963,0.120632894,0.031202307,0.0103708925,0.010634048
21007,0.41658705,0.015049124,0.597119,0.62636197,0.007216901,0.004781109
21008,0.78187853,0.017041715,0.024771087,0.796987,0.011094545,0.009159707
21009,0.1292733,0.017539285,0.9428809,0.019974722,0.009752116,0.008598975
21010,0.32973412,0.7032487,0.09287264,0.068803705,0.007224055,0.0024215311
21011,0.03718718,0.024756368,0.9733088,0.02277977,0.01679192,0.018862551
21012,0.038310613,0.017563557,0.9770396,0.09713158,0.012647414,0.020186521
21013,0.87212306,0.017307272,0.106062815,0.5523578,0.006396137,0.005155938
21014,0.025723625,0.035057493,0.97473055,0.024287738,0.016606286,0.019598013
